train_domain,train_profile,test_group,snr_db,num_train_seeds,mean_seed_ber,std_seed_ber,ci95_low,ci95_high,mean_seed_bce,pooled_ber,errors,trials
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,-4.0,3,0.29952353018301503,0.00013189581211187572,0.2991958828221137,0.2998511775439164,0.5607753028104335,0.29952353018301503,3179991,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,-2.0,3,0.2536093629436728,0.00019267977461042007,0.2531307198492535,0.2540880060380921,0.4977222574345859,0.25360936294367287,2692528,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,0.0,3,0.20466397132402583,0.00021618193771573497,0.20412694561992673,0.20520099702812494,0.4203775035746304,0.20466397132402586,2172883,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,2.0,3,0.1560471146195023,0.00018618801164094353,0.15558459795829183,0.15650963128071277,0.3347842535118997,0.15604711461950233,1656726,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,4.0,3,0.11264339494116511,0.00014683329480812227,0.11227864081617799,0.11300814906615224,0.2517280267712511,0.11264339494116513,1195916,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,6.0,3,0.07803382402584876,0.00012797818876790585,0.07771590858083695,0.07835173947086056,0.18305129640632203,0.07803382402584877,828472,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,8.0,3,0.05370801760826582,0.00020020337347920907,0.05321068485816778,0.054205350358363866,0.13550524441180406,0.053708017608265816,570209,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,10.0,3,0.038308414412133486,0.00021895839445785887,0.03776449160713596,0.038852337217131015,0.10820701709132136,0.038308414412133486,406714,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,12.0,3,0.02895477671682099,0.00026421161914172826,0.028298438669803725,0.029611114763838254,0.09390031123234903,0.028954776716820986,307408,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,14.0,3,0.02308946774329668,0.0003172146011058392,0.022301462989942192,0.02387747249665117,0.08551302924752235,0.023089467743296684,245137,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,16.0,3,0.01935285403404707,0.00032962247110795664,0.018534026422896668,0.020171681645197472,0.07989164777559998,0.019352854034047066,205466,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,18.0,3,0.01693367663724923,0.0003169001860887355,0.0161464529340959,0.01772090034040256,0.07447518608360379,0.016933676637249227,179782,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,uma_normalized,20.0,3,0.015333952727141205,0.0003204773018405033,0.014537842975849277,0.01613006247843313,0.06888602537183482,0.015333952727141205,162798,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,umi,-10.0,3,0.39142081178264854,7.465006128762085e-05,0.39123537075021253,0.39160625281508454,0.6553679991651465,0.39142081178264854,4155649,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,umi,-8.0,3,0.3611326806339217,0.00013467850710702125,0.3607981206754423,0.36146724059240104,0.6316598800965297,0.3611326806339217,3834085,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,umi,-6.0,3,0.32478746955777393,7.606982753731234e-05,0.32459850163045506,0.3249764374850928,0.5959992754606552,0.32478746955777393,3448214,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,umi,-4.0,3,0.2822244903187693,0.00010727300467650686,0.2819580094023896,0.282490971235149,0.544707104747678,0.2822244903187693,2996330,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,umi,-2.0,3,0.23378132007740163,0.0001080368153478084,0.23351294175012863,0.23404969840467463,0.4752169027004713,0.23378132007740163,2482017,10616832
tdl_a,tdl_A_10_30_100_mix_normalized,umi,0.0,3,0.18159277645158178,1.2085725709768868e-05,0.18156275384457116,0.1816227990585924,0.38813753922780353,0.18159277645158178,1927940,10616832
