train_domain,test_group,snr_db,num_train_seeds,real_pooled_ber,a_pooled_ber,pooled_difference,pooled_ratio,mean_paired_seed_difference,std_paired_seed_difference,paired_ci95_low,paired_ci95_high,real_mean_seed_bce,a_mean_seed_bce,mean_paired_seed_bce_difference,std_paired_seed_bce_difference,paired_bce_ci95_low,paired_bce_ci95_high
tdl_mix,urban_all,-8.0,3,0.3674111071928048,0.36836186161747686,-0.0009507544246720734,0.997418966175007,-0.0009507544246720548,0.0003063124918022607,-0.001711676837166881,-0.00018983201217722865,0.6353586540545946,0.6361179962570285,-0.0007593422024338622,0.000355488049602776,-0.0016424234725619007,0.0001237390676941762
tdl_mix,urban_all,-6.0,3,0.3315123098867911,0.33145678484881363,5.552503797745523e-05,1.0001675181819034,5.552503797741822e-05,0.00036162305697078236,-0.0008427964353159241,0.0009538465112707606,0.6007903554925212,0.6004302247806832,0.000360130711838047,0.0004095914944531467,-0.0006573509659834559,0.00137761238965955
tdl_mix,urban_all,-4.0,3,0.28961935161072533,0.28870057471004534,0.0009187769006799851,1.0031824560848304,0.0009187769006799665,0.0003539820733773674,3.9436682886605776e-05,0.0017981171184733272,0.5512412041425705,0.5496948173752537,0.0015463867673167393,0.0004808083110814861,0.0003519927095913173,0.0027407808250421613
tdl_mix,urban_all,-2.0,3,0.24239184532636476,0.2408569241747444,0.0015349211516203498,1.0063727507809024,0.0015349211516203682,0.0003716285726165074,0.0006117445995850375,0.002458097703655699,0.48456651671433154,0.4818475137890121,0.002719002925319458,0.0005765833647133319,0.00128669044501331,0.004151315405625606
tdl_mix,urban_all,0.0,3,0.1916139390733507,0.1897308443799431,0.001883094693407611,1.0099250846617045,0.0018830946934075925,0.00038004228298752727,0.0009390173261430805,0.0028271720606721047,0.4016683866948257,0.3977780318186607,0.003890354876165051,0.0007466914612813771,0.002035470458084263,0.005745239294245839
tdl_mix,urban_all,2.0,3,0.1409769411440249,0.13877072746371044,0.002206213680314456,1.0158982641414156,0.0022062136803144283,0.00041994410393160676,0.0011630146948714915,0.003249412665757365,0.3085180245063923,0.3035510592622521,0.004966965244140161,0.0009476193528082668,0.002612948273356175,0.007320982214924146
tdl_mix,urban_all,4.0,3,0.09579368873878762,0.09336994312427661,0.0024237456145110026,1.0259585208409623,0.0024237456145109935,0.0004415937340948874,0.0013267659663319814,0.0035207252626900058,0.21677668751389892,0.21106630876476382,0.005710378749135094,0.0010822076156295883,0.003022025999105125,0.008398731499165063
tdl_mix,urban_all,6.0,3,0.06045400360484182,0.05819363064236111,0.00226037296248071,1.0388422742752075,0.0022603729624807076,0.0003824533810806054,0.0013103060955162258,0.0032104398294451894,0.14036413001609438,0.1343196232193782,0.00604450679671617,0.0011214437786992043,0.0032586860143369173,0.008830327579095423
tdl_mix,urban_all,8.0,3,0.036830902099609375,0.03488611291956018,0.0019447891800491932,1.055746800583185,0.0019447891800491886,0.00028108030961816293,0.0012465469828699918,0.0026430313772283854,0.08798408949816668,0.08188465952781247,0.006099429970354213,0.001021276343188357,0.0035624388920261324,0.008636421048682293
tdl_mix,urban_all,10.0,3,0.023120691746841244,0.021459555920259454,0.0016611358265817902,1.077407744724743,0.0016611358265817902,0.0001637869742559917,0.0012542664271236992,0.002068005226039881,0.057844012653754086,0.05183039503287018,0.006013617620883903,0.0009489835539001669,0.00365621178672099,0.008371023455046816
